branch,u,C,B,T,stable
0,0.9999214166628286,0.02229596360085644,0.09013479926246228,0.030541316188742715,true
0,0.9999540589721152,0.022292501126104012,0.09013687797226444,0.030541845188465838,true
0,0.9999758205116396,0.022290192809602392,0.09013826377879922,0.03054219785494792,true
0,0.9999903282046558,0.022288653931934646,0.0901391876498224,0.03054243296593598,true
0,1.0,0.02228762801348948,0.09013980356383786,0.030542589706594684,true
0,1.0,0.02228762801348948,0.09013980356383786,0.030542589706594684,true
0,1.0000096722313991,0.022286602134779458,0.09014041941753201,0.030542746455130484,true
0,1.0000241805784977,0.022285063316714426,0.09014134319807324,0.030542981577934183,true
0,1.0000459430991457,0.022282755089616874,0.09014272886888508,0.030543334262139732,true
0,1.0000785868801176,0.02227929274897055,0.09014480737510285,0.030543863288448055,true
0,1.0001275797693792,0.022274102310317054,0.09014792318932015,0.030544656397282988,true
0,1.0002005816140898,0.02226636829825379,0.0901525659076629,0.030545838168941675,true
0,1.000310126447035,0.022254771814500543,0.09015952631107148,0.030547610498076666,true
0,1.000473432735534,0.02223750131957685,0.09016989174074522,0.030550250239288868,true
0,1.0007169494170824,0.02221178764528235,0.09018532255185373,0.030554181282784476,true
0,1.0010802054411638,0.022173517899167428,0.09020828372331653,0.03056003361380737,true
0,1.0016223706744487,0.02211659380253011,0.09024242710435315,0.030568742487361928,true
0,1.002432207872575,0.022031995552290594,0.09029314737451098,0.030581693772467538,true
0,1.003643295377185,0.021906431883126805,0.09036837930531037,0.030600935247590465,true
0,1.0054575717299097,0.02172042848052066,0.09047971697748743,0.03062947954290359,true
0,1.0081822910015397,0.02144570150154415,0.09064393026262045,0.030671728537806798,true
0,1.0122891053284373,0.02104173623290083,0.09088489370954844,0.030734044025032298,true
0,1.0173756540168393,0.020557487447124167,0.09117296941140039,0.030809041566637312,true
0,1.0225420960132696,0.02008288281276083,0.09145449544595081,0.030882856786988516,true
0,1.0277862390820687,0.019617923734938255,0.09172952930294638,0.03095546709631931,true
0,1.0331059661781181,0.0191625872973963,0.09199814056945062,0.03102685458371906,true
0,1.0384991248831146,0.0187168383713554,0.0922604036577586,0.031097004167755436,true
0,1.0439635334037771,0.01828062971278792,0.09251639780832341,0.031165903557855697,true
0,1.0494969885567227,0.017853902362547684,0.09276620685960214,0.03123354318904173,true
0,1.0550972736746378,0.01743658611768004,0.09300991898406517,0.03129991614239421,true
0,1.0607621663653464,0.01702860006427301,0.0932476263957952,0.031365018052857206,true
0,1.0664894460290155,0.016629853161623187,0.09347942503469231,0.031428847006375944,true
0,1.072276901060072,0.016240244870162575,0.0937054142329849,0.03149140342707742,true
0,1.0781223356653231,0.01585966581356632,0.09392569636726225,0.031552689956927456,true
0,1.084023576237147,0.015487998465741008,0.0941403765030316,0.031612711328743395,true
0,1.089978477247802,0.015125117854763524,0.0943495620341016,0.03167147423471427,true
0,1.0959849266258492,0.014770892274852447,0.09455336232222178,0.03172898719176248,true
0,1.1020408505984574,0.014425183999059269,0.09475188834098743,0.03178526040501042,true
0,1.1081442179881245,0.014087849985555399,0.0949452523264554,0.03184030563114015,true
0,1.1142930439638479,0.013758742570565714,0.0951335674389076,0.0318941360426075,true
0,1.1204853932560754,0.01343771014358884,0.09531694743674088,0.031946766094002536,true
0,1.1267193828467836,0.013124597798696428,0.09549550636647963,0.03199821139140195,true
0,1.1329931841617706,0.012819247959249073,0.09566935826904457,0.03204848856568004,true
0,1.1393050247845717,0.012521500972032359,0.09583861690431379,0.03209761515052738,true
0,1.1456531897256812,0.012231195668256404,0.09600339549518443,0.03214560946569224,true
0,1.1520360222790198,0.011948169890334988,0.09616380649112241,0.03219249050586391,true
0,1.1584519244968488,0.01167226098274009,0.09631996135172981,0.03223827783564608,true
0,1.1648993573210098,0.011403306246342807,0.09647197035026496,0.03228299149087052,true
0,1.1713768404033162,0.011141143356690086,0.09661994239710393,0.032326651886082435,true
0,1.177882951649354,0.010885610745744973,0.09676398488215891,0.03236927972875443,true
0,1.1844163265202141,0.010636547948713522,0.09690420353610929,0.03241089593966325,true
0,1.1909756571233114,0.010393795916388449,0.0970407023093117,0.03245152157969756,true
0,1.1975596911221034,0.010157197294489365,0.09717358326774525,0.03249117778277687,true
0,1.2041672304935276,0.009926596671466071,0.09730294650497434,0.032529885694709625,true
0,1.2107971301593317,0.009701840796377207,0.09742889006893941,0.032567666417828274,true
0,1.2174482965159303,0.009482778768818919,0.09755150990281178,0.032604540960938275,true
0,1.2241196858824395,0.009269262201935372,0.09767089979875423,0.032640530194628696,true
0,1.2308103028904616,0.009061145361399162,0.09778715136340123,0.03267565481129353,true
0,1.2375191988299064,0.008858285281278425,0.0979003539942764,0.032709935289812156,true
0,1.2442454699683867,0.008660541858945105,0.09801059486594026,0.03274339186452623,true
0,1.2509882558576686,0.008467777930773638,0.09811795892512767,0.032776044498126836,true
0,1.2577467376392455,0.008279859330282162,0.09822252889370466,0.032807912858267896,true
0,1.2645201363593916,0.008096654930251216,0.09832438527881988,0.0328390162975573,true
0,1.2713077113027598,0.007918036670542798,0.09842360638922906,0.03286937383665741,true
0,1.2781087583518127,0.007743879572753243,0.0985202683572658,0.03289900415026282,true
0,1.2849226083788983,0.0075740617434800345,0.09861444516554083,0.03292792555562551,true
0,1.2917486256755275,0.007408464367182805,0.09870620867776521,0.03295615600348347,true
0,1.2985862064233247,0.0072469716898537345,0.0987956286732399,0.03298371307110314,true
0,1.3,0.007214114303215661,0.09881381377981571,0.032989323034312505,true
